host_total_listings_count,frequency
0,0.10363418530351437
1,0.2690694888178914
2,0.1319888178913738
3,0.08037140575079872
4,0.054512779552715655
5,0.036641373801916934
6,0.03354632587859425
7,0.024660543130990416
8,0.021365814696485623
9,0.019069488817891375
10,0.012879392971246007
11,0.007787539936102236
12,0.012080670926517573
13,0.00928514376996805
14,0.0064896166134185305
15,0.0064896166134185305
16,0.01018370607028754
17,0.007288338658146965
18,0.004293130990415336
19,0.010383386581469648
20,0.003194888178913738
21,0.001597444089456869
22,0.001996805111821086
23,0.00509185303514377
24,0.004692492012779553
26,0.0007987220447284345
27,0.00579073482428115
28,0.001597444089456869
29,0.0005990415335463259
30,9.984025559105431e-05
31,0.00019968051118210862
32,0.002595846645367412
33,0.0026956869009584663
35,0.00718849840255591
36,0.0024960063897763577
37,0.0033945686900958465
38,0.003194888178913738
39,0.0006988817891373802
40,0.003294728434504792
41,0.0005990415335463259
44,0.00019968051118210862
47,0.004492811501597444
48,0.00019968051118210862
53,9.984025559105431e-05
55,0.002196485623003195
56,0.0020966453674121405
59,0.002895367412140575
63,0.00039936102236421724
64,0.008286741214057508
69,0.00019968051118210862
71,0.0002995207667731629
75,0.00039936102236421724
76,0.006389776357827476
81,0.0004992012779552715
83,0.00718849840255591
87,0.00019968051118210862
118,0.0002995207667731629
125,0.0008985623003194888
129,0.00019968051118210862
130,9.984025559105431e-05
133,9.984025559105431e-05
136,0.00019968051118210862
137,0.00019968051118210862
141,9.984025559105431e-05
146,0.00019968051118210862
151,0.0002995207667731629
172,9.984025559105431e-05
189,0.012380191693290734
194,0.00019968051118210862
206,0.000998402555910543
243,0.01647364217252396
251,0.00439297124600639
267,9.984025559105431e-05
278,0.009185303514376996
284,9.984025559105431e-05
314,9.984025559105431e-05
371,0.0004992012779552715
377,9.984025559105431e-05
824,0.0014976038338658146
879,9.984025559105431e-05
1029,0.0002995207667731629
1507,0.000998402555910543
